,Restaurant_name,review_title,review_content,review_rating
101,The Ledbury,Pretty flawless ,"Creative and refined cooking, great wine list, spotless service, very friendly staff, nice ambience. What else can you want from a fine-dining restaurant?",5
102,The Ledbury,Over the top excellent,"Be ready to dine
Very creative bursting with flavors. Every item very well prepared
Great pastry chef
We had a tasting menu plus some
Everyone who works there gets it",5
103,The Ledbury,One of my favorite at all time ,"From service to food just outstanding, is clean and yet simple but very delicious food here .we will come back again and again",5
104,The Ledbury,Date night,"Ok, is not cheap.The set dinner for 120£ it’s amazing experience.The oysters are very nice!
Fresh food and attention to the details.Well done.
Nice Notting Hill location, I love this area.",4
105,The Ledbury,Beautiful restaurant,Cozy restaurant serving beautiful food and excellent service. The oysters were very fresh and big. The scallop was cooked perfectly. Dish decoration is nice and well thought too. Strongly recommended!,5
106,The Ledbury,"Nice atmosphere, great service, great location! Feels like London","The service was excellent, the atmosphere was great. The neighborhood great! The menu is sort of fixed ,but the food was innovative, English and well done. Fresh ingredients. nice way to spend a evening. A dining experience, in the old sense of the word.",4
107,The Ledbury,Fantastic dining experience! Highly recommend,We visited The Ledbury with my wife to celebrate a special occasion. The dining experience was simply perfect: from the moment we arrived we felt welcomed and pampered and every minute detail was taken care of. A personalised note from the staff was waiting at...More,5
108,The Ledbury,Just one word - superb,I ate here with a friend over from South Africa and we’ve both eaten in many top restaurants. This is up there with the best. The experience was just superb from the moment I phoned the day before to confirm a dietary requirement to the...More,5
109,The Ledbury,The food is for Instagram not for the Mouth,"We opted for the Sunday 4 course set menu at £70, which consisted of 1) Course one White Asparagus 6/10, 2) Roast Celeriac 7/10, 3)Main / John Dory Fish course, fish was over cooked and lucked flavour and taste and lucked texture or taste. I...More",3
110,The Ledbury,Didn’t disappoint ,"I’ve been waiting to come here for ages, wonderful restaurant. Lovely ambiance, staff, food, what more could you wish for. There wasn’t a poor dish in the entire menu. The amuse bouche were delicious, lovely surprises together us in the mood. Good wines to go...More",5
111,The Ledbury,Absoultelty Sublime Food & Excellent Staff,"Amazing dishes and you should never forget to try their desserts. (They are Yumzz!!)
The ambience is amazing and its well decorated.  Must try their lobter soup and lam shoulder!!",5
112,The Ledbury,My favorite restaurant in London,"I have been to the Ledbury many times.  I love it for romantic or family dinners (with kids 10 years and above).  Id assume it is also wonderful for business dinners.  The food is superb, service amazing and decor just beautiful and calm.",5
113,The Ledbury,Super duper,"We’ve been eating at The Ledbury for 15 years, or there abouts. We’ve dined twice in the past couple of months and particularly enjoyed the ala Carte menu, the service is bang on, friendly and informative.
There aren’t many places I would jump at to...More",5
114,The Ledbury,Sophistication and Beyond!!,"One of best meals ever, no doubt it's among the bests in the world as 11 Madison Park and Blue and Hill at Stone Barns. Wonderful execution of special sourced materials, and beautiful presentation. We're most impressed with intricacy and creativity of the use of...More",5
115,The Ledbury,Wonderful,"The Ledbury met or exceeded all our expectations for a excellent meal.  The food was fabulous, with creative dishes bringing together a wide array of flavors and perfectly presented.  Equal to the quality of the food is the exceptional service.  Every staff member was friendly,...More",5
116,The Ledbury,Delicious food and nice place to spend great time!,I really had a nice memories with this place!The wine was great but much expencive comparing last time we visited! But food was delicious and very nice served!,4
117,The Ledbury,Delicious,"The food was gorgeous.  Lots of nice extra amuse bouches, lovely bread, friendly and very efficient service.  Nice atmosphere.  Expensive but well worth it for a very special occasion.",5
118,The Ledbury,8 course perfection,Some people say the art of good service is dieing in hospitality. Well they obviously have not dined here. The whole evening was a pleasure to be a part of with an uncompromising flow to the service that was like theatre to watch and enjoy....More,5
119,The Ledbury,Outstanding,The Ledbury really is a cut above other fine dining restaurants and has few peers. We enjoyed the 8 course tasting menu and every course was superb - in terms of presentation and the subtlety and mixing of the tastes.  The chef is not trying...More,5
120,The Ledbury,Dinner ,"Amazing experience. Every dish was outstanding, service was impeccable and friendly, lots of added extras. Highly recommend, a MUST visit.",5
121,The Ledbury,"If fine dining was art, the Ledbury would be a masterpiece !!!","We went there for dinner at the weekend & we had the tasting menu. Every course was superb from start to finish. It’s not a large restaurant & you will need to book in advance. The service & wine on offer, were both of the...More",5
122,The Ledbury,Absolutely our top restaurant experience in London,Absolutely our top restaurant experience in London! Fine dining on the next level. Epic food and service... the one is lost without the other. Fantastic atmosphere too. We are treated like royalty and yet also made to feel “right at home”. Thank you for the...More,5
123,The Ledbury,Warm romantic,"Great food and fantastic atmosphere too, lovely service 
Had a nice evening,
Highly recommended 
Definitely going back",5
124,The Ledbury,Business lunch,"I met for lunch with a client here a few weeks back and I must say I was very pleasently surprised with the quality of the food and the politeness of the staff, the food was exquisite and presented beautifully. Honestly, a fantastic place. I...More",5
125,The Ledbury,Outstanding visit to the Ledbury,"My wife and I visited the Ledbury for lunch on 23rd March, what an incredible afternoon we both had. The food was superb, we did the 8 course tasting menu and indeed were lucky enough to be given an extra course to try also. Every...More",5
126,The Ledbury,Just ever so slightly disappointed ,"We'd had the Ledbury on our wish list for such a long time and maybe our anticipation was too high.
Don't get me wrong there was absolutely nothing wrong with our meal it was delicious, but we both thought it lacked wow.
There were a...More",4
127,The Ledbury,Best eating in London?,My favourite restaurant in a city packed with fun places and serious cooking. The service is perfect but neither fawning nor military-intimidating French-style. The three course menu with all the stunning extras is constantly surprising and the wine list caters for all wallets. The most...More,5
128,The Ledbury,Worth a visit!,"The food was wonderful and the service even better. They made us feel right at 
home so we could enjoy the delicious food without pretense or fussiness. The staff even gave us a handwritten list of some of their favorite casual restaurants for Thai, Sri...More",5
129,The Ledbury,Always fantastic.,"We go to the Ledbury every time we are in London.  Always an impressive experience.  The food is spectacular as is the ambience.  Always something different on the menu.  Extensive wine list, with some expensive but worthwhile options.",5
130,The Ledbury,Sophisticated Fast Food lol,"Our first time at The Ledbury and my comments are when comparing it with Emily Roux's newly opened (Oct 18) Caractere, (much cheaper and not yet Michelin starred) a few minutes walk away, and her father's Gavroche, with similar prices to the Ledbury. 
The food...More",4
131,The Ledbury,Fantastic!,"This was our first time at The Ledbury and expectations were high, having had a number of rave reviews from other people who'd been. We were not disappointed. Food and ambience were very good and the service was outstanding. From the moment we walked in...More",5
132,The Ledbury,"A Little Higher Class Than My Scene, But Five Stars Nonetheless","If you have a sophisticated palate and enjoy high end wines, you'll probably love this place.  I enjoy fine dining, however do not possess either quality, or I would have appreciated the Ledbury even more.  Dress appropriately, and make this your only plan of the...More",5
133,The Ledbury,"Excellent Food, though not much of innovation","First visit to this restaurant and I have had a great expectation.  Ordered full evening tasting course with wine pairing for the evening.
 
The food was excellent, though every course seems rather ‘structured’ that I felt less of innovation/wow-factor.  Many features of East-Asian ingredients...More",4
134,The Ledbury,Really good food,"I've had the pleasure of having a dinner at this restaurant. The place is nice, service is pleasant and food was really good. Nothing to complain except the price, which is a bit high for the food received. I could name few different restaurants that...More",4
135,The Ledbury,Wonderful,"My wife and I came here during a visit to London, the food and ambiance was wonderful, I would highly recommend this restaurant and its amazing cuisine.",5
136,The Ledbury,Terrific lunch for four ,"Four of us booked for lunch and we all had the fixed four courses and shared a bottle of wine. Our visit was late February.
Location: the room was delightful and a more formal set up than I had anticipated. By this I mean lots...More",5
137,The Ledbury,Good food and service but they don’t read special requests,"It was my favourite Michelin dining from all I've selected this trip. 

Food - Food was on point. We had the 6 courses menu. Amuse bouche were all unexpectedly good. First time having white beetroot. Signature egg and truffle dish is just wow, simple yet...More",4
138,The Ledbury,Great lunch,We had a great lunch at the famous Ledbury. All the dishes were very good and the service was spotless. Beautiful room for lunch. In the middle of Notting Hill,4
139,The Ledbury,Six stars,"Best meal ever. I read a couple of poor reviews and was worried about the experience. However, these worries were greatly misplaced. I can confirm that this was my best dining experience ever (certainly better than any other 1* or 2* that I have tried)....More",5
140,The Ledbury,A pleasant experience,"The ambience at the place is a bit loud and there are too many waiters considering the size of the place. The menu is diverse and you get slight choice. 

The canapes were all too greasy, which was not a good way to start the...More",4
